,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,albany,US,42.6001,-73.9662,73.72,76,6,5.28,clear sky
1,bluff,NZ,-46.6,168.3333,41.81,73,99,16.75,overcast clouds
2,champerico,GT,14.3,-91.9167,82.35,84,100,6.33,overcast clouds
3,port elizabeth,ZA,-33.918,25.5701,55.69,76,0,6.91,clear sky
4,qandala,SO,11.472,49.8728,87.87,53,22,3.42,few clouds
5,esperance,AU,-33.8667,121.9,60.64,71,3,22.3,clear sky
6,nikolskoye,RU,59.7035,30.7861,63.01,97,87,5.26,overcast clouds
7,hilo,US,19.7297,-155.09,79.25,84,49,1.01,scattered clouds
8,pangnirtung,CA,66.1451,-65.7125,43.7,81,100,4.94,light rain
9,tiksi,RU,71.6872,128.8694,51.75,70,98,4.12,overcast clouds
10,touros,BR,-5.1989,-35.4608,76.1,84,65,13.73,broken clouds
11,cabo san lucas,MX,22.8909,-109.9124,89.62,70,27,3.0,scattered clouds
12,pangai,TO,-19.8,-174.35,77.11,65,75,4.61,broken clouds
13,bethel,US,41.3712,-73.414,74.1,86,90,6.91,overcast clouds
14,husavik,IS,66.0449,-17.3389,49.91,82,100,0.67,overcast clouds
15,vaini,TO,-21.2,-175.2,75.36,73,75,4.61,broken clouds
16,northam,GB,51.0333,-4.2167,59.4,97,100,12.5,overcast clouds
17,hermanus,ZA,-34.4187,19.2345,51.91,74,100,17.25,light rain
18,vao,NC,-22.6667,167.4833,66.31,72,82,22.84,broken clouds
19,rikitea,PF,-23.1203,-134.9692,74.66,78,6,11.81,clear sky
20,bambari,CF,5.768,20.6757,67.77,98,100,2.17,overcast clouds
21,luderitz,NA,-26.6481,15.1594,53.91,87,37,6.38,scattered clouds
22,deputatskiy,RU,69.3,139.9,70.41,41,19,1.81,few clouds
23,jamestown,US,42.097,-79.2353,75.18,84,1,5.75,clear sky
24,enid,US,36.3956,-97.8784,92.01,59,40,5.99,scattered clouds
25,lagoa,PT,39.05,-27.9833,71.42,86,0,18.63,clear sky
26,kapaa,US,22.0752,-159.319,84.18,79,0,4.0,clear sky
27,fort nelson,CA,58.8053,-122.7002,69.39,64,75,6.91,broken clouds
28,srandakan,ID,-7.9386,110.2506,79.59,78,19,4.65,few clouds
29,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,63.19,59,75,11.18,light rain
30,saint-philippe,RE,-21.3585,55.7679,68.22,85,93,2.26,overcast clouds
31,atuona,PF,-9.8,-139.0333,77.85,78,19,20.54,few clouds
32,cape town,ZA,-33.9258,18.4232,54.1,91,75,4.0,light rain
33,chapais,CA,49.7834,-74.8492,67.78,59,100,5.99,overcast clouds
34,saldanha,ZA,-33.0117,17.9442,55.45,74,100,18.05,light rain
35,damghan,IR,36.1683,54.348,79.34,20,0,3.44,clear sky
36,itoman,JP,26.1247,127.6694,84.22,84,20,8.05,few clouds
37,bambous virieux,MU,-20.3428,57.7575,68.25,94,75,3.44,moderate rain
38,kysyl-syr,RU,63.8986,122.7617,76.57,47,3,11.07,clear sky
39,laje,BR,-10.1833,-40.9667,65.95,67,0,10.22,clear sky
40,ostersund,SE,63.1792,14.6357,55.85,100,90,2.3,fog
41,upernavik,GL,72.7868,-56.1549,41.81,87,92,9.53,overcast clouds
42,olga,RU,43.7444,135.2892,64.13,76,100,15.66,overcast clouds
43,trincomalee,LK,8.5711,81.2335,80.38,76,100,17.96,overcast clouds
44,hobart,AU,-42.8794,147.3294,56.23,67,75,3.0,broken clouds
45,saskylakh,RU,71.9167,114.0833,62.33,55,99,7.34,overcast clouds
46,mataura,NZ,-46.1927,168.8643,41.49,98,100,5.26,overcast clouds
47,itarema,BR,-2.9248,-39.9167,79.14,76,10,17.38,clear sky
48,clyde river,CA,70.4692,-68.5914,41.23,93,90,12.66,overcast clouds
49,busselton,AU,-33.65,115.3333,55.04,58,97,23.04,overcast clouds
50,faanui,PF,-16.4833,-151.75,79.16,77,32,12.57,light rain
51,lata,PT,40.1629,-8.3327,59.81,97,27,1.72,scattered clouds
52,wewak,PG,-3.5534,143.6268,81.55,76,85,7.07,overcast clouds
53,ushuaia,AR,-54.8,-68.3,40.66,65,75,5.75,broken clouds
54,belyy yar,RU,53.6039,91.3903,57.09,100,90,2.24,fog
55,hithadhoo,MV,-0.6,73.0833,80.96,73,97,3.06,overcast clouds
