,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,port elizabeth,ZA,55.69,clear sky,-33.918,25.5701,39 On Nile Guest House
9,tiksi,RU,51.75,overcast clouds,71.6872,128.8694,Arktika
16,northam,GB,59.4,overcast clouds,51.0333,-4.2167,Durrant House Hotel
17,hermanus,ZA,51.91,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
32,cape town,ZA,54.1,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
34,saldanha,ZA,55.45,light rain,-33.0117,17.9442,Blue Bay Lodge
40,ostersund,SE,55.85,fog,63.1792,14.6357,Best Western Hotel Gamla Teatern
44,hobart,AU,56.23,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
49,busselton,AU,55.04,overcast clouds,-33.65,115.3333,Observatory Guest House
51,lata,PT,59.81,scattered clouds,40.1629,-8.3327,Casa Maquia
54,belyy yar,RU,57.09,fog,53.6039,91.3903,Pasportnyy Stol
58,kiruna,SE,52.72,overcast clouds,67.8557,20.2251,Camp Ripan
59,yellowknife,CA,55.92,broken clouds,62.456,-114.3525,The Explorer Hotel
62,bredasdorp,ZA,52.92,light rain,-34.5322,20.0403,Bredasdorp Country Manor
65,ahipara,NZ,52.52,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
72,castro,BR,56.28,clear sky,-24.7911,-50.0119,CHACARA BAILLY
75,sharkan,RU,54.16,few clouds,57.2989,53.8712,Rodnichok
78,gravdal,NO,57.25,scattered clouds,68.1214,13.5031,Skreda Rorbusuiter
79,sobolevo,RU,58.86,clear sky,54.4299,31.8996,
80,muzhi,RU,51.3,overcast clouds,65.3667,64.6667,
84,vostok,RU,56.01,overcast clouds,46.4856,135.8833,
109,olafsvik,IS,55.29,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
121,torbay,CA,55.58,light rain,47.6666,-52.7314,Gallows Cove
125,mount gambier,AU,53.51,few clouds,-37.8333,140.7667,The Commodore
126,dabat,ET,50.99,light rain,12.9842,37.765,Haymanot hotel
133,takaka,NZ,52.97,clear sky,-40.85,172.8,Golden Bay Motels
140,luena,AO,54.61,clear sky,-11.7833,19.9167,Hotel Kandamba
144,gargzdai,LT,58.78,clear sky,55.7128,21.4033,LIJO
158,beloha,MG,59.63,clear sky,-25.1667,45.05,
159,codrington,AU,54.82,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
163,port alfred,ZA,58.8,overcast clouds,-33.5906,26.891,The Halyards Hotel
165,ginir,ET,59.18,light rain,7.1333,40.7,Sura Dare Village
170,vestmannaeyjar,IS,56.41,overcast clouds,63.4427,-20.2734,Glamping & Camping
179,aklavik,CA,56.23,overcast clouds,68.2191,-135.0107,Aklavik Inn
180,severo-kurilsk,RU,57.09,broken clouds,50.6789,156.125,Апартаменты/Квартиры посуточно
187,khatanga,RU,53.28,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
188,new norfolk,AU,55.89,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
194,saint-francois,FR,56.17,clear sky,46.4154,3.9054,Manoir Du Bonheur
196,killarney,IE,50.97,overcast clouds,52.05,-9.5167,Cahernane House Hotel - Killarney Hotel
199,chuy,UY,56.95,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
200,tuktoyaktuk,CA,50.0,broken clouds,69.4541,-133.0374,End of The Road Ltd.
213,anadyr,RU,54.1,broken clouds,64.75,177.4833,"Гостиница ""Анадырь"""
222,tsiroanomandidy,MG,55.36,clear sky,-18.7667,46.0333,
225,traralgon,AU,55.9,overcast clouds,-38.1833,146.5333,Comfort Inn Traralgon
231,provideniya,RU,53.71,clear sky,64.3833,-173.3,
242,kodiak,US,59.31,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
250,shirokiy,RU,59.94,few clouds,49.758,129.523,
253,coquimbo,CL,53.33,few clouds,-29.9533,-71.3436,Punto de encuentro
265,oga,IT,52.68,broken clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
269,norwich,GB,57.38,overcast clouds,52.6278,1.2983,Holiday Inn Norwich City
271,nagorsk,RU,54.21,light rain,59.3172,50.8078,Uyutnyy Dom
276,grindavik,IS,57.15,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
277,xai-xai,MZ,59.41,clear sky,-25.0519,33.6442,Complexo da Familia
278,ovsyanka,RU,58.17,clear sky,55.9575,92.5519,Hotel Alsey Krasnoyarsk
284,deniliquin,AU,53.01,overcast clouds,-35.5333,144.9667,Riviana Motel
289,nogliki,RU,58.32,broken clouds,51.8333,143.1667,"Hotel ""Nogliki"""
299,mehamn,NO,57.9,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
300,marystown,CA,57.43,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
315,kuito,AO,53.19,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
319,yulara,AU,57.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
322,taltal,CL,57.78,clear sky,-25.4,-70.4833,Residencial Karime
323,mollendo,PE,58.37,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
325,norman wells,CA,57.24,broken clouds,65.282,-126.8329,Heritage Hotel
332,berlevag,NO,56.77,scattered clouds,70.8578,29.0864,Kvitbrakka
335,margate,GB,59.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
341,kristiansund,NO,57.85,few clouds,63.1115,7.732,Thon Hotels Storgata
361,plettenberg bay,ZA,58.23,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
366,porosozero,RU,56.52,overcast clouds,62.7191,32.727,Porosozero
372,rocha,UY,53.89,light rain,-34.4833,-54.3333,Beleza Pura B&B
384,ballyshannon,IE,55.62,light rain,54.5,-8.1833,Dorrians Imperial Hotel
399,sitka,US,58.37,overcast clouds,57.0531,-135.33,Westmark Sitka
425,asau,RO,59.92,light rain,46.4333,26.4,Casa Mika Ciobanus
431,kruisfontein,ZA,53.08,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
444,kenai,US,55.02,moderate rain,60.5544,-151.2583,Aspen Extended Stay Suites
448,launceston,AU,54.61,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
452,aykhal,RU,59.56,scattered clouds,66.0,111.5,
461,vardo,NO,54.45,clear sky,70.3705,31.1107,Vardø Hotel AS
463,lasa,IT,57.61,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
467,pocatky,CZ,55.22,few clouds,49.2602,15.2402,Resort Svata Katerina
487,hofn,IS,54.95,clear sky,64.2539,-15.2082,Hótel Höfn
489,sundumbili,ZA,52.11,clear sky,-29.1337,31.3975,The Plover Bed and Breakfast
490,bantry,IE,54.88,broken clouds,51.6833,-9.45,The Maritime Hotel
498,nakusp,CA,58.48,overcast clouds,50.2499,-117.8023,Riders Retreat
511,yar-sale,RU,51.98,overcast clouds,66.8333,70.8333,Yalemd
512,kurilsk,RU,54.61,overcast clouds,45.2333,147.8833,City of Kurilsk
520,harer,ET,59.74,moderate rain,9.3094,42.1258,Amir Cultural Harari Guesthouse
527,svetlyy,RU,57.25,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
533,port macquarie,AU,58.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
542,snasa,NO,56.17,broken clouds,64.2457,12.3778,Snåsa Hotell AS
543,dondo,MZ,58.51,clear sky,-19.6094,34.7431,Arco Iris
545,torata,PE,55.36,clear sky,-17.0769,-70.8433,Lodging Sra. Tina Vera
547,vriezenveen,NL,59.14,few clouds,52.4083,6.6222,"Het lageveld, vakantiehuizen, recreatiewoningen, vakantiewoningen kopen"
550,severobaykalsk,RU,57.76,overcast clouds,55.65,109.3167,Hostel03RUS
551,sistranda,NO,59.9,scattered clouds,63.7256,8.834,Hotell Frøya
553,saint-augustin,CA,57.61,clear sky,51.226,-58.6502,
554,kushiro,JP,59.95,mist,42.975,144.3747,Toyoko Inn Kushiro Jujigai
564,high level,CA,59.11,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
572,krasnoselkup,RU,59.2,few clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
